date,strategy,ls_ret,ls_ret_gross,long_ret,short_ret,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2015-04-01,HML_Passive,0.018,0.018,0.018,0.0,,,,,,,,,0.845447,0.018,-0.004021,-0.048733,-0.091396,-0.051982,0.045769,0.058245,0.063348,-0.055386,-0.106569,-0.107462,-1.612153,0.263258,-2.251215,0.501082,-0.857629,0.139858,0.333333,0.333333,0.166667
2015-05-01,HML_Passive,-0.0111,-0.0111,-0.0111,0.0,,,,,,,,,0.836063,-0.0111,0.002875,-0.028897,-0.100583,-0.086886,0.04408,0.057828,0.063449,-0.055386,-0.10018,-0.107462,-1.79843,0.254977,-2.584365,0.485082,-1.004018,0.13477,0.333333,0.333333,0.166667
2015-06-01,HML_Passive,-0.0082,-0.0082,-0.0082,0.0,,,,,,,,,0.829207,-0.0082,-0.001555,-0.056854,-0.101579,-0.09392,0.029855,0.057806,0.063636,-0.023153,-0.10086,-0.10885,-1.818145,0.182419,-2.620118,0.349914,-1.007132,0.090529,0.333333,0.166667,0.166667
2015-07-01,HML_Passive,-0.0416,-0.0416,-0.0416,0.0,,,,,,,,,0.794712,-0.0416,-0.06001,-0.06379,-0.138264,-0.136621,-0.012395,0.065557,0.068222,-0.06001,-0.133324,-0.145922,-2.225535,-0.030313,-3.059272,-0.053379,-1.037053,-0.028432,0.0,0.166667,0.166667
2015-08-01,HML_Passive,0.0275,0.0275,0.0275,0.0,,,,,,,,,0.816567,0.0275,-0.023319,-0.020511,-0.10949,-0.087979,0.002434,0.076602,0.069722,-0.06001,-0.120394,-0.145922,-1.471248,0.04353,-2.287236,0.078347,-0.909436,0.005556,0.333333,0.333333,0.25
2015-09-01,HML_Passive,0.0055,0.0055,0.0055,0.0,,,,,,,,,0.821058,0.0055,-0.009828,-0.011367,-0.091234,-0.072013,-0.008121,0.07773,0.069155,-0.06001,-0.105818,-0.145922,-1.190022,-0.007233,-1.796208,-0.012914,-0.862171,-0.018601,0.666667,0.5,0.333333
2015-10-01,HML_Passive,-0.0047,-0.0047,-0.0047,0.0,,,,,,,,,0.817199,-0.0047,0.028295,-0.033412,-0.080517,-0.087507,-0.046351,0.077195,0.065947,-0.049459,-0.096089,-0.145922,-1.048,-0.208799,-1.550796,-0.357561,-0.837943,-0.10756,0.666667,0.333333,0.333333
2015-11-01,HML_Passive,-0.0043,-0.0043,-0.0043,0.0,,,,,,,,,0.813685,-0.0043,-0.003529,-0.026766,-0.054889,-0.093154,-0.042215,0.072397,0.065827,-0.0416,-0.096089,-0.145922,-0.744507,-0.186906,-1.109961,-0.319139,-0.57123,-0.097822,0.333333,0.333333,0.333333
2015-12-01,HML_Passive,-0.0257,-0.0257,-0.0257,0.0,,,,,,,,,0.792773,-0.0257,-0.034449,-0.043938,-0.098295,-0.11646,-0.098212,0.069368,0.063775,-0.034449,-0.066074,-0.148005,-1.453984,-0.508986,-2.045928,-0.817952,-1.487641,-0.228854,0.0,0.333333,0.25
2016-01-01,HML_Passive,0.0208,0.0208,0.0208,0.0,,,,,,,,,0.809263,0.0208,-0.009711,0.018309,-0.046648,-0.07977,-0.088659,0.068709,0.064802,-0.034449,-0.062303,-0.148005,-0.665161,-0.446488,-1.027451,-0.728935,-0.748732,-0.205886,0.333333,0.5,0.333333
